id_mahasiswa,semester,kelas,jenis_kelamin,kehadiran_persen,tugas_rata,kuis_rata,nilai_uts,akses_lms,forum_posts,jam_belajar_per_minggu,jumlah_terlambat_tugas,ikut_bimbingan,nilai_uas,nilai_akhir,status_lulus
MHS00001,3,SI-C,P,93.0,100.0,86.8,100.0,40,5,11.5,1,Ya,85.1,92.9,Lulus
MHS00002,6,SI-A,L,79.9,68.4,65.8,56.2,44,6,7.7,1,Tidak,61.6,62.8,Lulus
MHS00003,5,SI-A,L,85.7,59.9,50.3,59.8,34,2,3.2,1,Tidak,48.4,54.5,Tidak Lulus
MHS00004,4,SI-D,L,79.0,52.3,61.5,65.2,35,4,6.1,1,Tidak,56.7,58.7,Tidak Lulus
MHS00005,1,SI-C,L,57.0,30.0,31.8,20.0,36,5,3.1,4,Tidak,21.4,25.3,Tidak Lulus
MHS00006,1,SI-B,L,67.7,91.0,84.1,79.4,51,4,8.4,3,Ya,62.5,78.2,Lulus
MHS00007,1,SI-D,P,86.1,72.3,69.3,68.3,41,2,2.4,0,Ya,64.7,68.4,Lulus
MHS00008,5,SI-C,L,80.0,67.1,78.1,70.8,44,4,5.6,2,Tidak,65.6,69.8,Lulus
MHS00009,4,SI-C,P,92.2,76.0,64.8,50.2,31,4,3.5,2,Ya,56.9,61.6,Lulus
MHS00010,4,SI-B,P,82.8,58.8,51.6,63.0,44,1,6.9,1,Tidak,61.5,59.2,Tidak Lulus
MHS00011,1,SI-D,L,66.4,57.6,56.4,48.3,41,1,5.4,4,Ya,44.0,51.0,Tidak Lulus
MHS00012,6,SI-C,L,68.4,84.9,42.6,46.6,52,5,7.0,2,Ya,54.0,57.6,Tidak Lulus
MHS00013,5,SI-C,L,79.2,98.0,75.9,79.9,44,3,6.6,1,Tidak,73.1,81.6,Lulus
MHS00014,2,SI-C,P,50.2,51.6,60.1,53.0,47,4,3.5,2,Tidak,38.4,49.7,Tidak Lulus
MHS00015,2,SI-B,P,98.1,73.5,63.6,68.0,44,5,8.4,2,Tidak,70.1,69.1,Lulus
MHS00016,2,SI-D,L,83.3,69.8,61.4,65.9,36,5,6.4,1,Tidak,55.5,62.9,Lulus
MHS00017,2,SI-D,L,92.7,84.7,70.0,70.0,31,2,3.5,0,Tidak,84.2,77.9,Lulus
MHS00018,3,SI-D,P,59.0,59.4,77.0,51.2,53,8,13.2,3,Tidak,71.1,64.4,Lulus
MHS00019,3,SI-D,L,92.9,100.0,90.8,83.2,42,7,7.9,1,Tidak,82.9,88.8,Lulus
MHS00020,2,SI-A,L,100.0,69.1,70.0,79.4,37,4,6.0,1,Tidak,73.8,73.3,Lulus
MHS00021,4,SI-A,P,62.1,78.1,95.9,84.6,37,4,10.7,1,Tidak,76.3,82.7,Lulus
MHS00022,1,SI-D,P,87.3,77.1,69.2,65.9,53,4,12.0,1,Tidak,74.5,71.9,Lulus
MHS00023,2,SI-B,P,78.0,56.5,49.6,53.6,34,3,6.1,3,Tidak,51.4,52.9,Tidak Lulus
MHS00024,3,SI-A,P,59.5,50.2,43.7,46.2,47,1,7.5,2,Tidak,45.5,46.5,Tidak Lulus
MHS00025,3,SI-C,P,83.9,71.7,67.3,67.7,47,3,3.5,1,Tidak,66.2,68.2,Lulus
MHS00026,5,SI-A,L,88.0,86.8,86.7,77.5,37,1,6.1,1,Ya,68.8,79.1,Lulus
MHS00027,2,SI-C,P,70.8,60.9,47.1,59.3,39,6,5.9,0,Tidak,57.3,56.7,Tidak Lulus
MHS00028,3,SI-D,P,92.0,95.7,74.9,72.4,35,2,7.1,2,Tidak,65.3,76.6,Lulus
MHS00029,4,SI-A,P,58.0,66.9,67.8,64.2,48,2,7.5,4,Tidak,53.6,62.4,Lulus
MHS00030,1,SI-B,L,60.1,69.4,76.8,58.3,43,3,8.2,2,Tidak,62.2,65.9,Lulus
MHS00031,4,SI-A,L,79.6,72.9,66.0,67.8,37,2,7.2,0,Tidak,65.9,68.1,Lulus
MHS00032,1,SI-A,L,78.3,64.8,66.0,65.0,53,3,2.9,1,Tidak,62.8,64.5,Lulus
MHS00033,1,SI-A,L,69.4,52.4,40.6,46.6,31,0,3.7,2,Tidak,39.7,44.8,Tidak Lulus
MHS00034,6,SI-D,L,87.7,77.4,75.6,50.0,33,4,4.9,2,Ya,74.9,69.4,Lulus
MHS00035,6,SI-B,P,84.4,63.0,58.5,61.3,34,1,5.7,2,Tidak,56.6,59.8,Tidak Lulus
MHS00036,5,SI-A,P,88.3,99.2,74.8,84.2,49,2,9.7,1,Tidak,71.6,82.3,Lulus
MHS00037,2,SI-B,L,76.5,57.6,45.9,54.1,33,5,3.0,0,Tidak,46.8,51.1,Tidak Lulus
MHS00038,1,SI-D,P,85.2,74.7,94.4,83.1,38,3,5.4,1,Tidak,75.3,80.9,Lulus
MHS00039,4,SI-C,L,72.7,92.3,72.3,82.5,51,5,9.4,0,Tidak,84.4,83.5,Lulus
MHS00040,3,SI-A,L,100.0,77.6,76.2,68.2,32,2,5.6,1,Tidak,71.1,73.0,Lulus
MHS00041,1,SI-B,L,68.2,62.8,54.9,37.8,51,4,7.9,5,Tidak,43.9,49.3,Tidak Lulus
MHS00042,3,SI-B,L,100.0,88.0,100.0,76.7,47,4,6.1,0,Tidak,74.1,83.4,Lulus
MHS00043,1,SI-D,L,78.4,85.7,71.6,68.2,42,3,7.3,3,Ya,78.5,76.3,Lulus
MHS00044,6,SI-A,L,61.5,59.7,73.5,63.8,46,7,5.8,1,Tidak,48.0,60.0,Lulus
MHS00045,2,SI-C,L,94.4,73.4,75.6,73.4,41,4,8.5,0,Tidak,62.0,70.4,Lulus
MHS00046,4,SI-B,P,79.5,89.9,73.4,57.1,24,6,1.9,1,Tidak,58.4,69.0,Lulus
MHS00047,2,SI-A,L,88.2,59.1,71.3,66.7,32,1,5.4,1,Tidak,63.3,64.7,Lulus
MHS00048,3,SI-C,P,92.7,91.1,87.5,79.4,51,5,7.4,2,Tidak,74.4,82.4,Lulus
MHS00049,4,SI-B,P,82.1,72.9,80.3,73.8,36,1,8.1,0,Tidak,63.9,71.9,Lulus
MHS00050,2,SI-B,P,70.9,74.2,72.8,83.9,48,2,11.0,0,Tidak,64.6,73.5,Lulus
MHS00051,6,SI-C,P,89.7,78.2,64.8,74.9,37,1,5.3,0,Tidak,79.0,74.9,Lulus
MHS00052,5,SI-C,L,78.0,80.1,67.4,68.5,49,4,10.9,1,Tidak,70.2,71.7,Lulus
MHS00053,6,SI-D,L,86.2,71.4,46.2,46.9,31,3,4.5,1,Ya,60.6,57.0,Tidak Lulus
MHS00054,6,SI-A,P,52.2,95.2,70.5,78.4,54,2,10.5,1,Tidak,81.2,81.9,Lulus
MHS00055,4,SI-A,L,83.4,70.5,70.4,55.3,51,2,9.0,0,Ya,80.5,69.7,Lulus
MHS00056,6,SI-D,P,70.3,63.1,81.6,62.3,30,2,3.8,0,Tidak,51.3,63.1,Lulus
MHS00057,1,SI-B,P,97.8,70.0,69.3,58.2,47,1,7.4,3,Tidak,62.1,64.5,Lulus
MHS00058,2,SI-C,P,85.5,67.6,62.9,61.4,45,3,6.3,0,Tidak,67.5,65.1,Lulus
MHS00059,1,SI-C,P,80.9,85.1,84.3,75.0,47,3,8.4,1,Ya,75.5,79.5,Lulus
MHS00060,2,SI-C,P,83.8,77.6,54.6,50.6,40,3,5.8,2,Tidak,50.3,58.1,Tidak Lulus
MHS00061,3,SI-B,P,66.0,74.0,50.2,33.3,41,3,5.6,3,Tidak,24.1,44.1,Tidak Lulus
MHS00062,2,SI-C,L,97.5,87.0,69.8,70.2,43,9,10.6,0,Tidak,88.7,79.9,Lulus
MHS00063,5,SI-C,P,100.0,86.4,81.7,68.7,35,8,6.2,0,Tidak,90.4,82.2,Lulus
MHS00064,2,SI-D,L,82.7,77.8,81.0,65.9,44,1,9.0,1,Tidak,72.2,73.8,Lulus
MHS00065,2,SI-B,L,97.1,65.6,62.8,60.9,37,3,5.8,3,Tidak,57.7,61.5,Lulus
MHS00066,4,SI-A,P,71.2,92.1,72.9,85.4,49,6,11.5,1,Tidak,71.9,80.5,Lulus
MHS00067,1,SI-D,L,68.4,48.6,53.3,43.9,35,3,4.5,2,Tidak,42.5,46.5,Tidak Lulus
MHS00068,5,SI-D,L,78.5,78.4,71.0,60.7,47,1,4.7,2,Tidak,67.6,69.3,Lulus
MHS00069,1,SI-A,L,83.2,95.3,100.0,85.4,59,2,11.1,1,Tidak,86.9,91.2,Lulus
MHS00070,6,SI-D,P,73.3,74.5,71.0,69.5,38,7,5.2,1,Tidak,48.1,64.6,Lulus
MHS00071,5,SI-B,L,84.5,66.3,66.9,71.1,48,4,11.3,2,Tidak,76.6,70.7,Lulus
