id_transaksi,tanggal,jam,produk,kategori,jumlah,harga,diskon,total,metode_bayar,fakultas
TRX-0196,2026-05-01,09:20,Soto Ayam,Makanan Berat,2,17000,0,34000,Cash,Ekonomi dan Bisnis
TRX-0145,2026-05-01,09:50,Soto Ayam,Makanan Berat,3,17000,3000,48000,QRIS,Ilmu Komunikasi
TRX-0019,2026-05-01,11:45,Nasi Goreng,Makanan Berat,1,16000,3000,13000,Cash,Ilmu Komputer dan Rekayasa
TRX-0086,2026-05-01,11:55,Kentang Goreng,Snack,1,10000,0,10000,QRIS,Ekonomi dan Bisnis
TRX-0037,2026-05-01,12:10,Pisang Goreng,Snack,4,8000,3000,29000,QRIS,Ilmu Komputer dan Rekayasa
TRX-0049,2026-05-01,13:50,Es Teh,Minuman,2,5000,0,10000,QRIS,Ilmu Komunikasi
TRX-0168,2026-05-01,14:20,Pisang Goreng,Snack,1,8000,0,8000,QRIS,Ilmu Komputer dan Rekayasa
TRX-0069,2026-05-01,16:55,Jus Alpukat,Minuman,1,12000,0,12000,Cash,Keguruan dan Ilmu Pendidikan
TRX-0234,2026-05-02,08:05,Soto Ayam,Makanan Berat,1,17000,1000,16000,Cash,Ilmu Komputer dan Rekayasa
TRX-0044,2026-05-02,08:25,Kopi Susu,Minuman,2,10000,0,20000,QRIS,Ilmu Komputer dan Rekayasa
TRX-0092,2026-05-02,08:45,Es Teh,Minuman,2,5000,0,10000,Cash,Ekonomi dan Bisnis
TRX-0191,2026-05-02,09:20,Es Teh,Minuman,3,5000,0,15000,QRIS,Keguruan dan Ilmu Pendidikan
TRX-0073,2026-05-02,12:30,Soto Ayam,Makanan Berat,1,17000,0,17000,QRIS,Keguruan dan Ilmu Pendidikan
TRX-0147,2026-05-02,13:40,Nasi Goreng,Makanan Berat,1,16000,0,16000,QRIS,Ekonomi dan Bisnis
TRX-0068,2026-05-02,14:35,Mie Goreng,Makanan Berat,1,14000,2000,12000,QRIS,Ilmu Komunikasi
TRX-0104,2026-05-02,14:50,Es Jeruk,Minuman,1,7000,0,7000,QRIS,Ilmu Komputer dan Rekayasa
TRX-0204,2026-05-02,16:35,Kopi Susu,Minuman,4,10000,0,40000,QRIS,Ilmu Komputer dan Rekayasa
TRX-0075,2026-05-03,08:45,Kopi Susu,Minuman,2,10000,0,20000,Debit,Ilmu Komputer dan Rekayasa
TRX-0221,2026-05-03,10:10,Pisang Goreng,Snack,2,8000,0,16000,Cash,Ilmu Komunikasi
TRX-0020,2026-05-03,10:50,Nasi Ayam Geprek,Makanan Berat,1,18000,0,18000,Cash,Ilmu Komunikasi
