id_tiket,tanggal_lapor,hari_lapor,jam_lapor,unit_pelapor,kategori_masalah,prioritas,kanal_laporan,waktu_respons_menit,waktu_selesai_jam,jumlah_teknisi,eskalasi,status_sla,kepuasan_1_5
TIK00001,2026-01-01,Kamis,07:00,Kemahasiswaan,Komputer/Laptop,Rendah,Datang Langsung,32,9.4,1,Ya,Sesuai SLA,4
TIK00002,2026-01-01,Kamis,07:00,Program Studi,Akun/Login,Rendah,WhatsApp,51,1.0,1,Tidak,Sesuai SLA,4
TIK00003,2026-01-01,Kamis,07:05,Kemahasiswaan,Internet/WiFi,Rendah,Email,83,8.9,1,Tidak,Sesuai SLA,3
TIK00004,2026-01-01,Kamis,07:05,Laboratorium,Internet/WiFi,Sedang,Email,66,7.5,1,Tidak,Sesuai SLA,5
TIK00005,2026-01-01,Kamis,07:25,Akademik,Komputer/Laptop,Rendah,WhatsApp,38,4.6,2,Tidak,Sesuai SLA,5
TIK00006,2026-01-01,Kamis,07:50,Laboratorium,Internet/WiFi,Tinggi,Form Online,35,7.9,3,Tidak,Lewat SLA,3
TIK00007,2026-01-01,Kamis,08:10,Kemahasiswaan,Printer,Sedang,Email,85,4.6,1,Tidak,Sesuai SLA,4
TIK00008,2026-01-01,Kamis,08:10,Program Studi,Sistem Akademik,Rendah,Email,80,11.7,1,Tidak,Sesuai SLA,4
TIK00009,2026-01-01,Kamis,08:25,Program Studi,Internet/WiFi,Sedang,Datang Langsung,27,6.1,1,Tidak,Sesuai SLA,4
TIK00010,2026-01-01,Kamis,08:30,Laboratorium,Komputer/Laptop,Tinggi,Form Online,58,6.9,2,Tidak,Lewat SLA,4
TIK00011,2026-01-01,Kamis,08:40,Akademik,Akun/Login,Rendah,Datang Langsung,32,2.1,1,Tidak,Sesuai SLA,5
TIK00012,2026-01-01,Kamis,08:40,Kemahasiswaan,Komputer/Laptop,Rendah,WhatsApp,44,7.6,1,Tidak,Sesuai SLA,5
TIK00013,2026-01-01,Kamis,08:50,Laboratorium,Komputer/Laptop,Sedang,Form Online,43,5.3,1,Tidak,Sesuai SLA,4
TIK00014,2026-01-01,Kamis,09:10,Keuangan,Internet/WiFi,Sedang,Form Online,74,8.3,2,Ya,Sesuai SLA,4
TIK00015,2026-01-01,Kamis,09:35,Kemahasiswaan,Internet/WiFi,Rendah,WhatsApp,35,7.1,1,Tidak,Sesuai SLA,4
TIK00016,2026-01-01,Kamis,10:05,Akademik,Printer,Rendah,WhatsApp,52,4.2,1,Tidak,Sesuai SLA,4
TIK00017,2026-01-01,Kamis,10:10,Kemahasiswaan,Printer,Sedang,WhatsApp,41,7.1,1,Tidak,Sesuai SLA,5
TIK00018,2026-01-01,Kamis,10:10,Program Studi,Komputer/Laptop,Sedang,WhatsApp,49,5.6,1,Tidak,Sesuai SLA,4
TIK00019,2026-01-01,Kamis,10:10,Kemahasiswaan,Sistem Akademik,Sedang,WhatsApp,23,15.1,1,Tidak,Lewat SLA,3
TIK00020,2026-01-01,Kamis,10:30,Keuangan,Proyektor,Sedang,Form Online,65,6.0,1,Ya,Sesuai SLA,5
TIK00021,2026-01-01,Kamis,10:35,Keuangan,Sistem Akademik,Tinggi,Form Online,41,16.5,3,Ya,Lewat SLA,2
TIK00022,2026-01-01,Kamis,10:40,Perpustakaan,Akun/Login,Rendah,Form Online,51,6.5,1,Ya,Sesuai SLA,5
TIK00023,2026-01-01,Kamis,10:45,Laboratorium,Akun/Login,Sedang,Form Online,41,7.8,1,Tidak,Sesuai SLA,4
TIK00024,2026-01-01,Kamis,10:45,Kemahasiswaan,Komputer/Laptop,Rendah,Form Online,56,4.5,1,Tidak,Sesuai SLA,4
TIK00025,2026-01-01,Kamis,11:00,Program Studi,Komputer/Laptop,Rendah,WhatsApp,35,6.7,1,Tidak,Sesuai SLA,3
TIK00026,2026-01-01,Kamis,11:10,Kemahasiswaan,Internet/WiFi,Sedang,Email,67,8.4,1,Tidak,Sesuai SLA,3
TIK00027,2026-01-01,Kamis,11:20,Program Studi,Akun/Login,Rendah,Datang Langsung,46,1.5,2,Tidak,Sesuai SLA,4
TIK00028,2026-01-01,Kamis,11:25,Laboratorium,Sistem Akademik,Sedang,WhatsApp,24,14.7,1,Ya,Lewat SLA,3
TIK00029,2026-01-01,Kamis,11:25,Program Studi,Akun/Login,Rendah,Datang Langsung,40,2.7,1,Tidak,Sesuai SLA,4
TIK00030,2026-01-01,Kamis,11:30,Laboratorium,Komputer/Laptop,Rendah,WhatsApp,37,8.5,1,Tidak,Sesuai SLA,5
TIK00031,2026-01-01,Kamis,11:35,Keuangan,Sistem Akademik,Sedang,WhatsApp,32,10.8,2,Tidak,Lewat SLA,3
TIK00032,2026-01-01,Kamis,11:40,Akademik,Sistem Akademik,Sedang,WhatsApp,38,11.9,2,Ya,Lewat SLA,3
TIK00033,2026-01-01,Kamis,12:25,Akademik,Komputer/Laptop,Sedang,WhatsApp,29,9.0,1,Ya,Sesuai SLA,5
TIK00034,2026-01-01,Kamis,12:25,Akademik,Internet/WiFi,Tinggi,WhatsApp,35,7.3,1,Tidak,Lewat SLA,3
TIK00035,2026-01-01,Kamis,12:40,Perpustakaan,Sistem Akademik,Sedang,Form Online,46,9.5,2,Tidak,Sesuai SLA,5
TIK00036,2026-01-01,Kamis,13:35,Laboratorium,Akun/Login,Tinggi,Email,48,4.4,3,Tidak,Sesuai SLA,5
TIK00037,2026-01-01,Kamis,13:40,Umum,Komputer/Laptop,Sedang,Email,62,8.8,1,Tidak,Sesuai SLA,3
TIK00038,2026-01-01,Kamis,14:20,Akademik,Sistem Akademik,Rendah,Form Online,75,11.3,2,Ya,Sesuai SLA,3
TIK00039,2026-01-01,Kamis,15:05,Kemahasiswaan,Printer,Rendah,WhatsApp,39,3.2,1,Tidak,Sesuai SLA,5
